accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.353817199799478342e-04,-1.359310194114288087e-03,-9.802366494634794591e+00
-5.879552496802482528e-03,9.529479294517981605e-03,-9.784550652088833900e+00
9.606154866995725641e-03,-5.137298147470655690e-03,-9.790401864786225872e+00
-5.176344689464359343e-04,3.603991757203948380e-03,-9.790960582140568746e+00
3.535093515158875305e-04,-2.628240375813510523e-03,-9.792800254634709489e+00
9.956786191989233127e-04,-1.984118070807693902e-03,-9.799016959158096896e+00
6.184746059456552175e-03,-2.181529892121935980e-03,-9.797296877420007988e+00
4.226449100496269470e-03,9.545455395539656149e-03,-9.790137217600898722e+00
6.204610210124056335e-03,-7.742647169292291194e-03,-9.795703990239600145e+00
5.982620648739421683e-03,9.005354919292839905e-03,-9.794116272601605999e+00
-1.065985358698177086e-02,-6.569677819034014550e-03,-9.789818714042999304e+00
-3.378688153389542738e-03,2.457897969922107160e-03,-9.791906893506245879e+00
-2.640413275743756696e-03,2.704129745960686445e-03,-9.786606932524435365e+00
-4.847953024847694546e-03,6.510857194236420453e-03,-9.798811830482232921e+00
4.116249856549656500e-03,-2.365483957609160193e-03,-9.792287589765432898e+00
-1.566284169401611481e-03,-1.014837812938788105e-03,-9.790237024255953102e+00
6.594210350592696022e-03,-1.482714883123206068e-03,-9.787974924226416462e+00
5.725791354669097950e-03,-1.922597621273220651e-03,-9.797010130805855255e+00
7.414413690737825134e-04,-2.421016662468006026e-03,-9.788553172774811628e+00
-1.837735601998474570e-03,-4.301920636091045164e-03,-9.801138087328885362e+00
7.513251759078252816e-03,5.604723979650451729e-03,-9.801014623199378661e+00
-9.523474649421470248e-03,-5.221653420075962442e-03,-9.800858485222276428e+00
-7.805414425308349405e-03,-3.800574168099243866e-03,-9.796007657959963311e+00
2.931455661488179248e-03,-1.587214114767995657e-03,-9.794963043443743800e+00
1.219791600275849444e-02,-4.413507759951500707e-03,-9.804877739182911611e+00
8.008403500474211428e-03,-1.076747659065227340e-02,-9.795310383942926080e+00
-4.475130764976083253e-03,5.759885898019813854e-04,-9.795647293772532294e+00
-9.989750030501474976e-03,7.624468283259464192e-03,-9.793014903358795209e+00
-3.640714810359752581e-03,3.646924915534140860e-03,-9.792230604538952221e+00
1.194897520160868518e-02,4.968243348310453621e-04,-9.794564188908505997e+00
-5.321961347932646288e-03,-8.566278124894314162e-04,-9.799292681340689981e+00
2.050240047777661216e-03,1.613020374605434511e-03,-9.800616927365441100e+00
-2.396773818920987491e-03,-7.735974480413766502e-05,-9.787982130691514016e+00
5.317832384180065132e-03,4.725993175852673082e-03,-9.789146183229922471e+00
3.106457459037857607e-03,4.187359514231946828e-03,-9.793099028603476697e+00
-5.406303289536264212e-03,-6.581574881583779693e-03,-9.791658559559479613e+00
-3.289834001175162559e-03,-1.666843624069748304e-05,-9.797275943486482674e+00
3.410417091732767872e-03,-1.462548989879714802e-03,-9.793463312660806608e+00
-1.204307947351449188e-03,2.205204877712384215e-03,-9.794439726251315648e+00
-6.629570926002617028e-03,-9.664715204423336486e-04,-9.789415297593421883e+00
-2.989662351360334626e-03,4.033802000120143873e-03,-9.779055922191508543e+00
-1.499912245874450737e-03,1.208566743905899014e-03,-9.788405320592795889e+00
4.106088746034288958e-03,-5.386990546498411983e-03,-9.797717303459304361e+00
6.815977031211523790e-03,-1.058633882987218382e-02,-9.791839197110849824e+00
-5.730178815347021477e-05,-2.098573588899299396e-03,-9.792489864456896953e+00
1.085831454454704329e-03,-1.769941636973986062e-03,-9.798550896867654458e+00
-3.770557622227946478e-05,-8.258164983829852784e-03,-9.798253354184465636e+00
6.529272303541876557e-03,-4.854716808344886059e-03,-9.798849512845782428e+00
-6.830214347420711374e-03,3.112944844230089783e-03,-9.791662007387005318e+00
-3.522657705830770352e-03,-2.090025539055540623e-04,-9.799639345083701159e+00
5.900703913863537126e-03,3.635158189009718996e-04,-9.791719296432178865e+00
3.192880318608732216e-03,-6.503157419505659238e-03,-9.798702153250122393e+00
-1.409067609124656922e-03,8.508078056845794646e-04,-9.796875376595281182e+00
8.909998602072632338e-04,-5.783552568648954277e-03,-9.795467796069567967e+00
-1.375537735837073375e-03,4.730580935273655252e-03,-9.792428881295101917e+00
7.895026184018756263e-03,3.967473788123600242e-03,-9.786194355160560576e+00
3.071113513366831999e-03,2.551907540468003211e-03,-9.791090252663124716e+00
-2.689071245134493776e-03,-5.711918676927122719e-03,-9.800925371953074006e+00
4.596163799409134706e-03,3.167412128797706099e-03,-9.804093740878590424e+00
-3.681046445467726826e-03,8.865065752760373501e-05,-9.798376360330626866e+00
2.658318810908448255e-04,1.571674244510558403e-03,-9.804335951155422890e+00
3.520945302576552940e-03,-1.557890334382835799e-03,-9.796783550217577741e+00
-9.822672600352409453e-03,1.653426064337088495e-04,-9.783828377688440270e+00
6.455334186205916210e-03,-3.455199322653083882e-03,-9.800690312803903126e+00
4.887080841499427675e-03,1.038854020436613505e-02,-9.799702894988786994e+00
-1.092708229294044389e-02,-3.336310677659316565e-03,-9.797304563940937072e+00
-8.526339239569269771e-03,-1.263587318148916977e-03,-9.797901547492136487e+00
2.885420388389443522e-04,7.551375419992390186e-04,-9.802323834390273660e+00
1.801851429938291062e-03,-3.273205673425108164e-03,-9.805615838608478185e+00
-2.394083676830419376e-03,2.616969163172948483e-03,-9.801289727417847431e+00
-1.872150693295769312e-06,-3.125093143681886496e-03,-9.793968285690821673e+00
-1.696173814120993965e-03,-3.373863076917382135e-03,-9.797246785240769640e+00
-7.001945424982764996e-03,-2.435267602644124781e-03,-9.794051492660642566e+00
-1.601599261315057637e-04,4.266164374815012601e-03,-9.805492561613080582e+00
-3.975896305466873615e-03,-1.484606212354991524e-03,-9.800187996513558986e+00
-1.282393610901971098e-03,-4.309051965757772738e-03,-9.793564833598317421e+00
3.132941575145277088e-03,-1.258953536541085154e-02,-9.793475511487663709e+00
-2.014902435654609882e-03,1.145963100639477497e-03,-9.794417933451246228e+00
5.866806896467161372e-03,2.554726383445706829e-03,-9.794829078435814296e+00
5.098045583360436586e-05,2.514955917699231418e-03,-9.797453255502896141e+00
-2.187126244800367218e-03,-4.743708850172292067e-03,-9.800419863429381095e+00
-4.782081438772384403e-03,3.558610848747817499e-03,-9.792628775149617937e+00
-1.047048910653705645e-02,-4.655381570726653540e-03,-9.793536219792347453e+00
3.336620137846882991e-03,7.129035823853939642e-03,-9.787344955319827733e+00
-1.805877102172120377e-03,1.664989551585360360e-04,-9.793743516954261707e+00
1.039938704853888597e-03,2.608974249535375017e-03,-9.797821684510976681e+00
2.586867328178258946e-03,1.388594131048138426e-03,-9.798398258337446265e+00
1.919758872563833612e-03,1.876640256169355859e-03,-9.806305069091429516e+00
1.828851050366909039e-03,-1.817196462092097965e-03,-9.798056538503058022e+00
6.139851969755539748e-03,-1.154427209282428814e-03,-9.791777269347484491e+00
-2.424720796709671760e-03,-2.722814021046030854e-03,-9.793820074746534488e+00
3.688107275093975741e-03,2.068100108664988699e-03,-9.799627546308785853e+00
-2.940294627473936939e-03,-2.868142721523056103e-04,-9.791727326086265393e+00
-4.740237867921554514e-03,-3.860709021192100521e-03,-9.790114310244117490e+00
3.798523139778452098e-03,3.022069307639315555e-03,-9.789547745218930785e+00
1.180152714840724875e-03,5.081813243678020599e-03,-9.806042948795901992e+00
-8.001549246157327972e-04,5.356989728530828481e-04,-9.800657106901104143e+00
4.953679701023385937e-03,-6.434683038476927443e-03,-9.799096549864916739e+00
-8.670935503615516751e-03,-1.479638606538444170e-03,-9.796636726681681395e+00
-4.487581499235954695e-03,-4.321597034907108392e-03,-9.793597455253706840e+00
6.724538584344483564e-04,1.083285530180332079e-02,-9.800092541415999392e+00
3.458703191626158555e-03,-8.907440739674962749e-03,-9.786213246497750262e+00
-7.437349667367119249e-03,-6.646900617279489316e-04,-9.791931761395503031e+00
-4.834558610120856699e-03,-8.323988375053581121e-03,-9.801998945365529181e+00
1.977960330099112502e-03,-3.629142538364076107e-03,-9.793764679776323590e+00
-1.378121345994286120e-03,2.551635623525810859e-03,-9.789606486105778771e+00
2.562793365651625140e-03,-4.730744794764272891e-03,-9.794760046512925200e+00
2.458122181372202064e-03,1.927816156394572371e-03,-9.795812682105749403e+00
1.773755824880260358e-03,6.183842011767905385e-04,-9.780164279411424744e+00
2.690225321056248942e-03,1.288677979385750025e-03,-9.798202816746153232e+00
-1.029181700905994028e-02,-8.654732876614699283e-03,-9.799922951227385326e+00
3.723443165660133072e-03,1.025924645340352964e-02,-9.797155917693391558e+00
-5.154888081136062977e-03,-1.722760596444482175e-03,-9.794494252924916822e+00
-1.301776000120757068e-04,5.038157006659082712e-03,-9.792167475188744419e+00
1.740656964033211480e-03,-1.555699308205850829e-03,-9.791985384783366442e+00
2.167567630103504547e-03,-8.836164374187747278e-03,-9.798727777781781612e+00
-4.929352445630009148e-03,-8.259340902614964756e-04,-9.796189930883802077e+00
-4.013750901421919703e-03,2.406155336239963055e-03,-9.790518499815799913e+00
2.450094912788080680e-03,2.822641631343597059e-03,-9.790560297851230942e+00
2.347150366017338070e-03,-6.914299067267829814e-03,-9.797753628966280104e+00
5.034802406270199454e-03,1.201682526168099899e-03,-9.796196329891767363e+00
-3.775448044942603283e-03,-6.489180926250503155e-03,-9.799664648850489712e+00
4.709773734985050683e-03,-1.788554277680994876e-03,-9.794119798480755534e+00
3.291710436116489918e-03,1.022144100234588428e-03,-9.790223454166056882e+00
3.520483340484783629e-03,2.118974781614472828e-03,-9.794344491988896451e+00
-1.376422262580784435e-02,-7.098311575866364520e-03,-9.783268780314264390e+00
7.762070062209669961e-03,8.925986114360141485e-03,-9.786534909151452410e+00
-7.389189764083726845e-03,-5.220113938191031124e-03,-9.797283941971913990e+00
-7.133653904549743484e-03,-2.620229440839127316e-03,-9.797570219875741060e+00
3.563421601145249241e-03,1.298211580428918540e-03,-9.790718784290717736e+00
2.268133277215496086e-03,-2.417099013801284578e-03,-9.797489265779399048e+00
-6.319580078069236828e-03,6.423273771132717537e-04,-9.802094656825323327e+00
-6.211462381317123770e-03,-7.488537823162027228e-03,-9.791963742813010185e+00
-3.597470400693373194e-03,-1.371822904835894030e-02,-9.801806398559959277e+00
5.099173703572623586e-04,6.155443164773767573e-03,-9.784640420802988459e+00
-5.706198279275667695e-03,5.120913723726677920e-03,-9.792273847865239134e+00
3.356822641476108968e-03,-3.341627729265948202e-03,-9.796434428195560429e+00
2.031377410847524847e-03,-5.358413903336760667e-03,-9.806382503746242207e+00
-4.314814058595047366e-03,-2.966689667195932401e-03,-9.791746230037126963e+00
8.018062255141905278e-03,5.739359861154039871e-04,-9.803166342338357708e+00
8.036517077990416175e-03,9.946031585112013670e-03,-9.790344120647359816e+00
7.096749910671096544e-04,2.965058614015413617e-03,-9.799024721510615876e+00
-4.270555595626081974e-03,-7.620348962088915792e-04,-9.807886811105236191e+00
4.813425848561538392e-03,1.362923381770162834e-03,-9.793889382701911117e+00
-1.984480307181223872e-03,4.583237782888931189e-03,-9.797857860819092934e+00
1.819683217006057546e-03,-1.865743711821967257e-03,-9.794758961687346499e+00
2.569960165145338416e-03,-2.635865915371972054e-03,-9.794682620329856704e+00
-3.298882856648774863e-03,-1.713939306899920452e-03,-9.794524900498521092e+00
-5.911620088861027286e-03,8.437233551978970056e-03,-9.793546797296707851e+00
2.617647057711827577e-04,2.717193253251844100e-03,-9.791385418097025450e+00
-2.042579629660387728e-03,5.956392002491704349e-03,-9.800866572668590848e+00
5.630675836449201485e-03,3.192382995526634772e-03,-9.809917112997361244e+00
2.771037398982252684e-03,-5.830343775880901178e-03,-9.800313855375181404e+00
2.378454080427697820e-03,-1.274092782160157061e-03,-9.795225585052458328e+00
-1.389181703838622333e-03,2.831783280802920456e-03,-9.797905600485419697e+00
-1.149811700921507529e-02,-2.569116207850878197e-03,-9.799315976593540256e+00
-1.310782809300446239e-03,2.148868740621227066e-03,-9.793700706142185908e+00
9.196055296976658397e-03,-1.463376664487835805e-03,-9.799369070741667187e+00
2.503097957167607461e-03,3.925472325047275717e-03,-9.798770947009344923e+00
-2.865802029579756806e-03,-7.057231701932386095e-03,-9.791500946235604630e+00
2.006136420969922493e-03,-7.597047089557937456e-03,-9.793420187812516886e+00
-5.435955270637623550e-03,7.086823599276067913e-03,-9.797293055880821555e+00
-2.379463488640803231e-03,-4.443709224157322592e-03,-9.802114290282544218e+00
1.245250465618140661e-03,4.155911963427644934e-03,-9.792944129802807041e+00
-8.806964132390760272e-03,-3.179467513355999260e-03,-9.805489995135962644e+00
-5.756577921488157182e-03,-2.072660386740972187e-03,-9.793480423388317035e+00
-8.010996777867476423e-03,-4.728154907320822678e-03,-9.791409617776547947e+00
-2.290561387315939289e-03,-1.128038909426199105e-03,-9.787554791981792235e+00
-2.135400778443310651e-03,-1.147730379866701480e-03,-9.794924013333028867e+00
-1.074592096995188699e-02,1.453803686118304572e-03,-9.797888552988599287e+00
-4.464845266414479291e-03,-7.250017924444106428e-03,-9.791557715052769950e+00
8.735940650594334680e-03,-3.200327162778505508e-04,-9.791087369507938121e+00
-2.787942479434747829e-03,2.017530016231175926e-04,-9.785252661525886353e+00
6.706793270948207403e-03,5.241755958256100190e-03,-9.790984487155796501e+00
2.786630384212224545e-03,1.177796485192316063e-03,-9.789449963115846032e+00
9.038902322368495639e-05,5.647285897067324222e-03,-9.796145598850340974e+00
6.833273399470098444e-03,-5.188943900316279542e-03,-9.786020406250887760e+00
-2.674533705099702355e-03,9.780076938702236128e-03,-9.795518068194692063e+00
9.579158394845873822e-03,-2.879653012538814852e-03,-9.804957572247538167e+00
2.831763926901923432e-03,-1.691526783758429305e-03,-9.790502698966063733e+00
6.140930063091226861e-03,1.075596929377892717e-02,-9.795735803756217663e+00
-8.331277452207707475e-04,-5.140898267234179746e-03,-9.788428648039880997e+00
-2.699656611977711927e-03,-6.472680921323124316e-03,-9.790115320641705310e+00
-1.104348721380723521e-02,1.035991957326868641e-02,-9.804482296316095358e+00
3.423145286508746249e-03,-2.730035029782054441e-03,-9.796028166610257770e+00
5.922367796193302690e-03,-1.165923412461662614e-03,-9.797060529947177798e+00
3.607875167643202459e-04,3.778894831237569318e-03,-9.800234420551330317e+00
-6.810636019468851131e-03,4.804627806776663387e-03,-9.794098001263204623e+00
1.595183795106010997e-03,3.283760122381755488e-03,-9.794499743319338592e+00
-4.590676989273552097e-03,-1.039491924925750165e-03,-9.790778526896909639e+00
2.009658043127794409e-03,-5.885239161753094000e-03,-9.791695653899690654e+00
3.990053107271981686e-04,-8.705645885850736218e-03,-9.795373441263734549e+00
1.021474223920405128e-02,1.392741002506512000e-03,-9.798829068846238499e+00
5.926411346908611998e-04,-3.125662025829712906e-03,-9.799947956843299224e+00
-3.137180044650416007e-03,-4.087909210669177229e-03,-9.793393762267497138e+00
-1.010022850489987207e-03,-1.490650835680313842e-03,-9.792883885659136922e+00
5.110821059248378539e-04,7.101946007319479481e-04,-9.805211062034333125e+00
2.524468612113349138e-04,1.256445122955119091e-03,-9.795541178005603200e+00
-2.456381057596791588e-03,3.103511389009105947e-03,-9.798514128856748329e+00
1.509989414067922954e-03,-3.521588200626269913e-03,-9.798660238663584821e+00
1.867222107968438639e-03,-3.827813865268561017e-04,-9.799584245092534118e+00
2.022256493992107256e-03,9.290779038508570342e-03,-9.796448646715999686e+00
-1.978098435742690377e-03,5.969391432445324448e-03,-9.788707056672640405e+00
-6.391810424948099652e-03,-3.555955772031790894e-03,-9.796580079525908147e+00
-1.984957358594793050e-03,2.176643368492826771e-03,-9.790400328359236681e+00
-2.378971243376327462e-03,3.705319624318281855e-03,-9.798778068795760632e+00
2.786482109158519311e-03,-1.525540921713134561e-03,-9.794407941886094093e+00
-3.064274858695877068e-03,6.462337576898921285e-03,-9.802659132477156589e+00
-2.027579141904151463e-03,-3.828387229192963589e-03,-9.799931148877730536e+00
-2.462854802137460185e-03,-6.802058768417534179e-03,-9.795047499207186092e+00
-5.682312762524992060e-03,1.046331549633518557e-02,-9.794390435667306605e+00
1.808926020939266360e-03,-1.029991977912543544e-03,-9.803865128127467798e+00
7.832057888833047002e-03,8.528505684047721705e-03,-9.801245255963012326e+00
2.690563341207086439e-03,4.957424225207693845e-03,-9.794640177534429171e+00
-1.066410852574602858e-02,-3.241890137169137903e-03,-9.803207479158658089e+00
-4.831316867291873839e-04,2.752626665660737673e-03,-9.794038143319934164e+00
3.626079516992516006e-03,4.896848557870139493e-03,-9.789750434402398227e+00
2.112045584652558032e-03,1.562715850585760574e-03,-9.797445939681056259e+00
-3.409902014849901936e-03,5.856837659791153290e-03,-9.788727117625679597e+00
5.700742306110694697e-04,-6.666540419581117559e-03,-9.793720488144389336e+00
-8.289743958773639065e-03,-4.611754216114946278e-03,-9.792716628309399596e+00
1.106490425886486138e-03,3.249072553531297605e-03,-9.792971892819558377e+00
-4.980823065623856717e-03,-6.645120380600166854e-03,-9.788450051348860370e+00
-2.535865242718325467e-03,-1.674766550679232524e-03,-9.799319518749065594e+00
-3.259853181851771545e-03,-7.685117680869255063e-03,-9.802393058190189024e+00
-9.473278206729962266e-04,-9.266285810539801916e-04,-9.788648047439540534e+00
9.488278758045361888e-03,8.569444123682396636e-03,-9.789815294849390170e+00
-1.168709959911991888e-03,2.515009076204285628e-04,-9.803785183910076029e+00
6.659000503419974099e-03,2.507823090536350288e-03,-9.793512285382375282e+00
1.332273269828890706e-03,-8.277532500008570127e-04,-9.796110359862810313e+00
3.302593406375723046e-04,-1.695596951327888596e-03,-9.790908932884947902e+00
7.998710263781926011e-03,6.271434174763786985e-03,-9.800888921676323307e+00
-4.183340603116299759e-03,6.770780437100177131e-04,-9.798194492307995773e+00
-4.143162571754335430e-03,3.367614931551106980e-04,-9.786698693159454621e+00
4.288444987994781236e-04,3.635749868259086776e-03,-9.785423937994440990e+00
1.811993419702758465e-03,-2.519434091517100838e-03,-9.796735998933645106e+00
7.923788390465652184e-03,-1.020789383553924630e-02,-9.792445352206678777e+00
-9.403016072221645266e-04,-6.368312038698483758e-03,-9.798849151077693165e+00
-3.124688312475037630e-03,4.469590437187227240e-03,-9.779574496404732642e+00
-1.663978525368838696e-03,6.188670136556210198e-03,-9.794472147761178249e+00
-1.217931492001194781e-03,2.732241197382188555e-03,-9.789762318479425574e+00
-1.400876565946596345e-03,9.353699402715132116e-03,-9.792175567585699625e+00
